# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-F" "GTF" "-a" "genome.gtf" "-t" "gene" "-g" "gene_id" "-s" "1" "-o" "counts_matrix.txt" "/ifb/data/mydatalocal/work/ed/a50959958c8a1035b7ca4e90a61e61/SRR10379722_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/50/0ed48766b0e229f79413cf426b225b/SRR10379726_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/c8/3784a96f58cb6d43cefcc83da746bc/SRR10379723_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/a3/a70741af2b0a622c0e9a52865ad90f/SRR10379724_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/e3/c0b8388a2096991a6f71f12bbaee56/SRR10379721_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/b1/f7b1948a746a8f0ce94c83754b5bd0/SRR10379725_trimmed.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/ifb/data/mydatalocal/work/ed/a50959958c8a1035b7ca4e90a61e61/SRR10379722_trimmed.sorted.bam	/ifb/data/mydatalocal/work/50/0ed48766b0e229f79413cf426b225b/SRR10379726_trimmed.sorted.bam	/ifb/data/mydatalocal/work/c8/3784a96f58cb6d43cefcc83da746bc/SRR10379723_trimmed.sorted.bam	/ifb/data/mydatalocal/work/a3/a70741af2b0a622c0e9a52865ad90f/SRR10379724_trimmed.sorted.bam	/ifb/data/mydatalocal/work/e3/c0b8388a2096991a6f71f12bbaee56/SRR10379721_trimmed.sorted.bam	/ifb/data/mydatalocal/work/b1/f7b1948a746a8f0ce94c83754b5bd0/SRR10379725_trimmed.sorted.bam
SAOUHSC_01589	NC_007795.1	1515589	1516320	-	732	1910	265	2094	2948	2640	2692
SAOUHSC_01590	NC_007795.1	1516412	1516918	+	507	199	87	182	536	338	969
SAOUHSC_01591	NC_007795.1	1516996	1517883	-	888	7142	272	6080	2781	7763	3388
SAOUHSC_01592	NC_007795.1	1517932	1518381	-	450	5676	348	5095	3812	7298	3482
SAOUHSC_01593	NC_007795.1	1518486	1519028	-	543	314	88	261	783	352	976
SAOUHSC_01594	NC_007795.1	1519110	1520018	+	909	1529	637	1395	4015	1754	5017
SAOUHSC_01595	NC_007795.1	1520234	1520482	-	249	92	85	73	185	112	258
SAOUHSC_01596	NC_007795.1	1520498	1521253	-	756	242	87	223	853	368	879
SAOUHSC_01597	NC_007795.1	1521425	1522210	+	786	2638	670	2736	4146	3559	4911
SAOUHSC_01598	NC_007795.1	1522315	1523235	-	921	947	492	945	2780	1477	2707
SAOUHSC_01599	NC_007795.1	1523548	1525032	+	1485	17412	3750	12089	37934	22265	40245
SAOUHSC_01600	NC_007795.1	1525235	1526128	+	894	9137	826	7257	11774	10374	10398
SAOUHSC_01601	NC_007795.1	1526211	1527860	-	1650	4836	532	4172	1251	6368	1765
SAOUHSC_01602	NC_007795.1	1527876	1528895	-	1020	952	99	727	610	1171	737
SAOUHSC_01603	NC_007795.1	1528896	1529150	-	255	3	0	8	0	5	2
SAOUHSC_01604	NC_007795.1	1529089	1529460	-	372	2398	1745	1291	6471	2545	7912
SAOUHSC_01605	NC_007795.1	1529679	1531085	-	1407	15867	4818	11732	27866	19272	26344
SAOUHSC_01606	NC_007795.1	1531153	1532286	-	1134	2824	753	1908	3434	3337	4049
SAOUHSC_01607	NC_007795.1	1532549	1532728	+	180	24	19	21	68	28	87
SAOUHSC_01608	NC_007795.1	1532809	1532901	+	93	6	3	11	94	6	59
SAOUHSC_01609	NC_007795.1	1532855	1533835	-	981	1788	406	1780	2810	2421	3680
SAOUHSC_01610	NC_007795.1	1533849	1534286	-	438	938	550	755	1617	1268	1963
SAOUHSC_01611	NC_007795.1	1534637	1535911	-	1275	14401	1605	16534	9332	23017	9135
SAOUHSC_01612	NC_007795.1	1535924	1536907	-	984	9060	1307	9521	5801	13671	6035
SAOUHSC_01613	NC_007795.1	1536907	1537899	-	993	8217	1803	9256	5430	13243	5259
SAOUHSC_01614	NC_007795.1	1537915	1539336	-	1422	8730	1047	9035	4964	12592	5329
SAOUHSC_01615	NC_007795.1	1539487	1541166	-	1680	5083	924	5277	5129	8377	6647
SAOUHSC_01617	NC_007795.1	1541182	1541634	-	453	709	61	657	1492	1291	1633
SAOUHSC_01618	NC_007795.1	1542066	1542947	-	882	4400	1624	3975	5262	5465	7383
SAOUHSC_01619	NC_007795.1	1542925	1543155	-	231	665	73	557	1034	787	927
SAOUHSC_01620	NC_007795.1	1543148	1544485	-	1338	5035	1070	4213	8634	5985	9104
SAOUHSC_01621	NC_007795.1	1544502	1544891	-	390	3210	474	2752	5487	3728	6629
SAOUHSC_01622	NC_007795.1	1544951	1545313	-	363	1853	983	1638	3567	2314	4303
SAOUHSC_01623	NC_007795.1	1545328	1546683	-	1356	5963	2874	4912	9567	6811	10711
SAOUHSC_01624	NC_007795.1	1546683	1547147	-	465	2612	1262	1992	4051	2804	4521
SAOUHSC_01625	NC_007795.1	1547621	1548178	-	558	8027	2533	6739	17571	9762	14971
SAOUHSC_01626	NC_007795.1	1548204	1549265	-	1062	1907	1446	1504	6151	2525	10127
SAOUHSC_01627	NC_007795.1	1549370	1549951	+	582	1266	123	1491	3055	2114	3180
SAOUHSC_01628	NC_007795.1	1549965	1550183	+	219	324	51	393	681	555	657
SAOUHSC_01629	NC_007795.1	1550247	1551077	-	831	2609	1356	2825	4037	4024	4374
SAOUHSC_01630	NC_007795.1	1551235	1551621	+	387	1991	544	1650	4328	2873	4087
SAOUHSC_01632	NC_007795.1	1551986	1553458	-	1473	3598	2744	2640	6659	4233	7595
SAOUHSC_01633	NC_007795.1	1553451	1554797	-	1347	2665	839	1872	4769	2761	5736
SAOUHSC_01634	NC_007795.1	1554817	1555908	-	1092	1136	359	868	2450	1404	3212
SAOUHSC_01635	NC_007795.1	1556067	1556591	-	525	1738	261	985	3508	1800	3881
SAOUHSC_01636	NC_007795.1	1556581	1556727	-	147	2	2	0	0	1	3
SAOUHSC_01637	NC_007795.1	1556824	1557321	-	498	35	4	48	51	54	87
SAOUHSC_01638	NC_007795.1	1557239	1557559	-	321	25	0	23	28	44	36
SAOUHSC_01639	NC_007795.1	1557525	1557971	-	447	33	1	30	37	43	27
SAOUHSC_01640	NC_007795.1	1557949	1558260	-	312	22	4	35	27	42	38
SAOUHSC_01641	NC_007795.1	1558274	1559194	-	921	80	3	102	64	104	37
SAOUHSC_01643	NC_007795.1	1559316	1560290	-	975	141	7	151	94	227	80
SAOUHSC_01644	NC_007795.1	1560342	1560965	-	624	3050	913	2885	6835	3935	7114
SAOUHSC_01645	NC_007795.1	1560962	1561291	-	330	1175	323	1041	2350	1215	3150
SAOUHSC_01646	NC_007795.1	1561291	1562277	-	987	2595	2771	2259	5715	2990	6015
SAOUHSC_01647	NC_007795.1	1562274	1562477	-	204	175	62	192	486	172	668
SAOUHSC_01649	NC_007795.1	1562458	1563921	-	1464	1545	965	1428	4786	1703	5994
SAOUHSC_01650	NC_007795.1	1563933	1564472	-	540	376	219	350	1609	464	2477
SAOUHSC_01651	NC_007795.1	1564681	1564830	-	150	4130	326	3864	7309	6275	5073
SAOUHSC_01652	NC_007795.1	1564943	1567018	-	2076	5563	1652	3955	10698	6127	10815
SAOUHSC_01653	NC_007795.1	1567139	1567738	-	600	26666	9866	16553	52528	27338	69231
SAOUHSC_01655	NC_007795.1	1568014	1568424	-	411	1882	34	1662	698	2521	901
SAOUHSC_01656	NC_007795.1	1568411	1569274	-	864	3980	91	3324	1605	5314	1856
SAOUHSC_01657	NC_007795.1	1569316	1570101	-	786	3671	89	3256	1549	5099	1926
SAOUHSC_01658	NC_007795.1	1570227	1571117	-	891	11827	2166	12691	8351	14593	10921
SAOUHSC_01659	NC_007795.1	1571127	1572473	-	1347	11678	1620	11975	9015	13767	11673
SAOUHSC_01660	NC_007795.1	1572587	1573687	-	1101	8342	1321	6270	6968	9139	7775
SAOUHSC_01661	NC_007795.1	1573690	1574367	-	678	4226	419	3737	3563	5150	3998
SAOUHSC_01662	NC_007795.1	1574498	1575604	-	1107	27377	3633	22967	22551	36558	17461
SAOUHSC_01663	NC_007795.1	1575828	1577627	-	1800	20731	1511	20054	13429	29995	11862
SAOUHSC_01664	NC_007795.1	1577688	1578506	-	819	1733	469	1677	2763	2427	2781
SAOUHSC_01665	NC_007795.1	1578517	1579056	-	540	780	104	884	1551	1240	1439
SAOUHSC_01666	NC_007795.1	1579475	1580866	+	1392	26267	12899	18883	74377	30339	69617
SAOUHSC_01667	NC_007795.1	1581016	1581762	-	747	3646	468	3958	3050	5082	2986
SAOUHSC_01668	NC_007795.1	1581790	1582689	-	900	4480	311	4595	3606	6241	3604
SAOUHSC_01670	NC_007795.1	1582690	1583094	-	405	1441	107	1549	1369	2316	1314
SAOUHSC_01671	NC_007795.1	1583105	1583449	-	345	643	51	892	856	1154	802
SAOUHSC_01672	NC_007795.1	1583452	1583919	-	468	1952	219	1828	2041	2788	2303
SAOUHSC_01673	NC_007795.1	1583920	1584867	-	948	3164	636	3078	4641	4391	5940
SAOUHSC_01675	NC_007795.1	1585171	1585869	-	699	24891	11908	19563	28790	32811	34924
SAOUHSC_01676	NC_007795.1	1585886	1586875	-	990	23617	8628	18735	29624	32156	28098
SAOUHSC_01677	NC_007795.1	1586893	1587576	-	684	12589	3180	10935	17590	16803	15657
SAOUHSC_01678	NC_007795.1	1587820	1587996	-	177	26372	3083	19448	39592	32703	18590
SAOUHSC_01679	NC_007795.1	1588289	1589635	-	1347	12204	2112	7781	11353	10788	13853
SAOUHSC_01680	NC_007795.1	1589642	1590394	-	753	3638	319	2406	2581	3172	3110
SAOUHSC_01681	NC_007795.1	1590396	1591334	-	939	42403	1127	29511	10518	37784	5565
SAOUHSC_01682	NC_007795.1	1591338	1592477	-	1140	40877	1395	26572	9183	30328	5164
SAOUHSC_01683	NC_007795.1	1592613	1594445	-	1833	674662	5851	450553	111096	608186	25753
SAOUHSC_01684	NC_007795.1	1594514	1595140	-	627	192179	195	128887	30175	164757	5868
SAOUHSC_01685	NC_007795.1	1595172	1596149	-	978	126388	211	105189	26489	121502	4262
SAOUHSC_01686	NC_007795.1	1596250	1597374	-	1125	1467	210	1335	908	1664	1128
SAOUHSC_01687	NC_007795.1	1597626	1597754	-	129	454	481	358	380	462	550
SAOUHSC_01688	NC_007795.1	1597937	1599760	-	1824	9786	2469	10945	12095	13495	12156
SAOUHSC_01689	NC_007795.1	1600106	1600357	+	252	7820	442	6255	10614	8643	11599
SAOUHSC_01690	NC_007795.1	1600402	1601376	-	975	3075	90	4314	1395	4681	1426
SAOUHSC_01691	NC_007795.1	1601433	1603580	-	2148	784	145	846	1220	1075	1428
SAOUHSC_01692	NC_007795.1	1603639	1604070	-	432	1532	416	988	3518	1711	3977
SAOUHSC_01693	NC_007795.1	1604192	1604878	-	687	591	112	482	762	683	959
SAOUHSC_01694	NC_007795.1	1604918	1605634	-	717	3805	585	3456	6139	4887	5978
SAOUHSC_01695	NC_007795.1	1605637	1605990	-	354	2874	894	2408	3888	3296	5397
SAOUHSC_01696	NC_007795.1	1605991	1606575	-	585	2767	1565	2174	4867	2805	6256
SAOUHSC_01697	NC_007795.1	1606565	1607134	-	570	2136	633	2022	2641	2621	3661
SAOUHSC_01698	NC_007795.1	1607137	1607427	-	291	514	48	470	703	614	685
SAOUHSC_01699	NC_007795.1	1607431	1608237	-	807	1436	280	1355	2040	1855	2236
SAOUHSC_01700	NC_007795.1	1608251	1609351	-	1101	3113	526	2695	3887	3858	4026
SAOUHSC_01701	NC_007795.1	1609352	1609879	-	528	1545	213	1442	1922	1795	2291
SAOUHSC_01702	NC_007795.1	1609899	1610585	-	687	1374	139	1136	2026	1635	2108
SAOUHSC_01704	NC_007795.1	1610899	1611168	+	270	14	6	25	59	25	94
SAOUHSC_01705	NC_007795.1	1611370	1612074	-	705	259	29	229	181	373	309
SAOUHSC_01706	NC_007795.1	1612536	1613756	-	1221	1405	115	1269	1594	1994	2323
SAOUHSC_01707	NC_007795.1	1614045	1615274	-	1230	1216	126	899	1432	1482	1998
SAOUHSC_01708	NC_007795.1	1615287	1616039	-	753	735	204	592	847	838	1425
SAOUHSC_01709	NC_007795.1	1616039	1617400	-	1362	1485	503	913	1738	1386	3594
SAOUHSC_01710	NC_007795.1	1617414	1617863	-	450	251	53	175	440	250	915
SAOUHSC_01711	NC_007795.1	1617865	1618779	-	915	573	273	343	1332	572	2151
SAOUHSC_01712	NC_007795.1	1618865	1619566	-	702	416	316	182	1196	331	1811
SAOUHSC_01714	NC_007795.1	1619925	1620401	-	477	7314	891	6743	9330	9389	9392
SAOUHSC_01715	NC_007795.1	1620429	1621052	-	624	6289	1358	5247	6531	7073	8155
SAOUHSC_01716	NC_007795.1	1621052	1622320	-	1269	7465	1715	6258	7042	8567	6572
SAOUHSC_01717	NC_007795.1	1622332	1623255	-	924	3662	428	2793	2917	3923	3268
SAOUHSC_01718	NC_007795.1	1623258	1623896	-	639	793	34	871	954	1086	982
SAOUHSC_01719	NC_007795.1	1624181	1624489	-	309	4605	4058	4782	9636	6200	12756
SAOUHSC_01720	NC_007795.1	1624504	1624932	-	429	5284	3918	4810	10845	5767	20442
SAOUHSC_01721	NC_007795.1	1624936	1625196	-	261	3167	1485	3025	9022	4140	13659
SAOUHSC_01722	NC_007795.1	1625259	1627889	-	2631	5553	4568	6626	12967	7300	16095
SAOUHSC_01723	NC_007795.1	1628232	1630709	-	2478	3987	469	4038	2787	5183	3224
SAOUHSC_01724	NC_007795.1	1630711	1631379	-	669	383	51	337	524	449	672
SAOUHSC_01726	NC_007795.1	1631841	1632958	-	1118	9112	2082	7637	8762	11090	9551
SAOUHSC_01727	NC_007795.1	1632959	1634101	-	1143	7959	1591	6826	9447	9275	12839
SAOUHSC_01728	NC_007795.1	1634413	1635426	+	1014	763	192	634	1168	1328	1097
SAOUHSC_01729	NC_007795.1	1635663	1635809	-	147	9722	6283	10122	48595	12365	86403
SAOUHSC_01730	NC_007795.1	1635849	1636031	-	183	6721	3135	5213	24973	8412	49604
SAOUHSC_01732	NC_007795.1	1636131	1636554	-	424	2318	2440	2183	5198	3318	8304
SAOUHSC_01734	NC_007795.1	1636639	1637913	+	1275	5696	1267	4588	8666	6574	8964
SAOUHSC_01735	NC_007795.1	1638074	1638847	-	774	3390	433	2190	5806	3699	4757
SAOUHSC_01736	NC_007795.1	1638847	1638975	-	129	104	58	115	184	166	135
SAOUHSC_01737	NC_007795.1	1639308	1641074	-	1767	2973	1998	2601	5883	3447	8282
SAOUHSC_01738	NC_007795.1	1641090	1642352	-	1263	895	300	819	1612	1033	2129
SAOUHSC_01739	NC_007795.1	1642813	1643688	-	876	2861	870	2535	7287	3675	11153
SAOUHSC_01741	NC_007795.1	1643685	1644137	-	453	1676	883	1241	4262	1839	5155
SAOUHSC_01742	NC_007795.1	1644149	1646338	-	2190	7115	4511	6093	20716	8817	27754
SAOUHSC_01743	NC_007795.1	1646766	1647284	-	519	3033	524	3939	3260	5055	3117
SAOUHSC_01744	NC_007795.1	1647306	1649579	-	2274	5297	421	6873	4454	8673	4663
SAOUHSC_01746	NC_007795.1	1649782	1652061	-	2280	9568	1922	9306	16190	12351	17512
SAOUHSC_01747	NC_007795.1	1652336	1652596	-	261	3555	473	2695	5964	4152	5229
SAOUHSC_01748	NC_007795.1	1652615	1653754	-	1140	7493	1437	5979	6323	7761	8880
SAOUHSC_01749	NC_007795.1	1653777	1654802	-	1026	6239	1045	5221	3898	6283	6015
SAOUHSC_01750	NC_007795.1	1654804	1655808	-	1005	7140	2425	5802	5381	7171	8083
SAOUHSC_01751	NC_007795.1	1655840	1656442	-	603	3782	406	3195	3566	4070	4933
SAOUHSC_01752	NC_007795.1	1656456	1656911	-	456	2465	312	1741	3016	2427	2141
SAOUHSC_01753	NC_007795.1	1656924	1658216	-	1293	11460	3349	8897	11202	11478	16278
SAOUHSC_01755	NC_007795.1	1658571	1658855	-	285	54807	12360	47570	28729	57253	31801
SAOUHSC_01756	NC_007795.1	1658867	1659187	-	321	28907	3113	28690	15294	32257	19255
SAOUHSC_01757	NC_007795.1	1659193	1659501	-	309	75430	11880	72533	40484	76663	81500
SAOUHSC_01758	NC_007795.1	1659668	1660198	-	531	3335	107	3987	1699	4312	1221
SAOUHSC_01759	NC_007795.1	1660198	1661040	-	843	11281	334	11989	4821	13103	5334
SAOUHSC_01760	NC_007795.1	1661240	1661359	-	120	21037	218	28350	2832	30817	3115
SAOUHSC_01761	NC_007795.1	1661433	1661906	-	474	32655	235	48143	5334	48832	6383
SAOUHSC_01761a	NC_007795.1	1662066	1662263	+	198	966	58	766	232	1306	416
SAOUHSC_01762	NC_007795.1	1662380	1662664	-	285	1690	87	1763	1634	2416	1348
SAOUHSC_01763	NC_007795.1	1662732	1663388	-	657	1042	42	1486	108	1746	123
SAOUHSC_01764	NC_007795.1	1663415	1664122	-	708	114	6	136	60	156	41
SAOUHSC_01765	NC_007795.1	1664224	1664334	+	111	139	1	373	48	302	29
SAOUHSC_01766	NC_007795.1	1664392	1665663	-	1272	12577	7391	9649	41914	13424	50441
SAOUHSC_01767	NC_007795.1	1665676	1668306	-	2631	17110	11232	12435	53746	16608	65624
SAOUHSC_01768	NC_007795.1	1668709	1669269	+	561	1932	685	2113	3575	2666	4385
SAOUHSC_01769	NC_007795.1	1669492	1670565	-	1074	3776	1269	4238	10440	5820	7261
SAOUHSC_01770	NC_007795.1	1670599	1670700	-	102	276	20	290	749	500	546
SAOUHSC_01771	NC_007795.1	1670761	1672047	-	1287	9260	2029	8933	8946	11773	9979
SAOUHSC_01772	NC_007795.1	1672095	1673069	-	975	3681	600	3193	3391	4311	3445
SAOUHSC_01773	NC_007795.1	1673072	1673740	-	669	1823	97	1648	1300	2195	1173
SAOUHSC_01774	NC_007795.1	1673762	1674688	-	927	6513	962	5997	5609	8086	6201
SAOUHSC_01775	NC_007795.1	1674730	1675545	-	816	2961	1312	3185	4430	3936	5273
SAOUHSC_01776	NC_007795.1	1675567	1676913	-	1347	25710	8526	20743	55559	27787	66069
SAOUHSC_01777	NC_007795.1	1677130	1677720	-	591	910	288	769	1441	965	1990
SAOUHSC_01778	NC_007795.1	1677874	1679136	-	1263	29935	5701	26102	24202	37901	22756
SAOUHSC_01779	NC_007795.1	1679287	1680588	-	1302	43931	4420	50848	27844	65410	25081
SAOUHSC_01780	NC_007795.1	1680636	1680746	-	111	29	30	78	49	31	204
SAOUHSC_01781	NC_007795.1	1680751	1681680	-	930	3905	335	3613	3032	4077	4244
SAOUHSC_01782	NC_007795.1	1681699	1682307	-	609	2138	926	1974	1917	1880	3255
SAOUHSC_01783	NC_007795.1	1682384	1682485	+	102	1	0	4	0	5	0
SAOUHSC_01784	NC_007795.1	1682449	1682805	-	357	28301	2024	28753	11087	35132	13360
SAOUHSC_01785	NC_007795.1	1682852	1683052	-	201	22899	867	23376	8246	28539	11806
SAOUHSC_01786	NC_007795.1	1683081	1683608	-	528	37569	3304	36431	14327	43760	17080
SAOUHSC_01787	NC_007795.1	1683837	1685330	-	1494	4788	9364	5856	31189	6012	57334
SAOUHSC_01788	NC_007795.1	1685756	1687693	-	1938	5337	15026	3971	28098	6090	80310
SAOUHSC_01789	NC_007795.1	1687891	1688013	-	123	6653	1040	5055	18402	7042	32557
SAOUHSC_01791	NC_007795.1	1688106	1689026	-	921	6575	2158	5889	10507	7372	12678
SAOUHSC_01792	NC_007795.1	1689026	1690426	-	1401	6048	2338	4807	12714	6797	13450
SAOUHSC_01793	NC_007795.1	1690427	1690897	-	471	2394	883	1774	5870	2368	7132
SAOUHSC_01794	NC_007795.1	1691107	1692132	-	1026	27178	888	18509	20025	19476	22118
SAOUHSC_01795	NC_007795.1	1692302	1692925	-	624	3168	1218	3807	4185	4689	6286
SAOUHSC_01796	NC_007795.1	1692941	1693813	-	873	2802	552	3012	4397	3677	4893
SAOUHSC_01797	NC_007795.1	1693829	1696459	-	2631	6075	1452	5727	11673	8218	11930
SAOUHSC_01798	NC_007795.1	1696753	1698240	-	1488	1440	70	2321	1191	2223	1084
SAOUHSC_01799	NC_007795.1	1698739	1700400	-	1662	3920	340	4323	3901	5776	3773
SAOUHSC_01800	NC_007795.1	1700400	1701104	-	705	897	411	861	2614	1238	3303
SAOUHSC_01801	NC_007795.1	1701494	1702762	-	1269	9888	1029	9723	6260	14185	5104
SAOUHSC_01802	NC_007795.1	1702811	1703668	-	858	4461	442	4093	3255	5800	2748
SAOUHSC_01803	NC_007795.1	1704280	1705641	+	1362	6071	5109	4244	29087	7732	36595
SAOUHSC_01805	NC_007795.1	1705886	1707325	-	1440	110	10	117	37	160	39
SAOUHSC_01806	NC_007795.1	1707966	1709723	-	1758	8704	11118	7003	38913	11275	31322
SAOUHSC_01807	NC_007795.1	1709745	1710668	-	924	3463	6980	2851	9389	3917	13496
SAOUHSC_01808	NC_007795.1	1710982	1711926	-	945	7661	1887	10109	6757	12351	8342
SAOUHSC_01809	NC_007795.1	1711926	1712783	-	858	5343	984	6105	5171	7785	6597
SAOUHSC_01810	NC_007795.1	1712978	1714207	-	1230	4010	1874	4605	4417	6180	6357
SAOUHSC_01811	NC_007795.1	1714657	1717854	-	3198	13344	2651	11426	17895	17135	15716
SAOUHSC_01812	NC_007795.1	1717875	1718816	-	942	3278	800	2777	4163	4328	4028
SAOUHSC_01813	NC_007795.1	1719077	1720375	-	1299	3912	1047	2939	5943	4879	5533
SAOUHSC_01814	NC_007795.1	1720580	1720993	+	414	5040	1265	4701	9282	6706	8777
SAOUHSC_01815	NC_007795.1	1721298	1721987	-	690	6417	2383	5003	12889	6867	11922
SAOUHSC_01816	NC_007795.1	1722162	1723217	+	1056	1643	1274	1755	4238	2475	5022
SAOUHSC_01817	NC_007795.1	1723311	1723409	-	99	64	4	30	107	65	40
SAOUHSC_01818	NC_007795.1	1723533	1724651	-	1119	13941	3144	8452	11481	13270	13398
SAOUHSC_01819	NC_007795.1	1724792	1725292	+	501	17097	23011	8181	51281	19523	46718
SAOUHSC_01820	NC_007795.1	1725538	1726740	-	1203	8495	1267	6983	8727	10526	7141
SAOUHSC_01821	NC_007795.1	1726828	1727775	-	948	1434	245	1144	2830	2006	2096
SAOUHSC_01822	NC_007795.1	1727898	1728392	-	495	4430	673	3160	9653	6287	6456
SAOUHSC_01823	NC_007795.1	1728490	1729260	-	771	1182	187	1125	1109	1225	2022
SAOUHSC_01824	NC_007795.1	1729304	1730527	-	1224	2268	697	1947	1820	2289	2791
SAOUHSC_01825	NC_007795.1	1730527	1731675	-	1149	1475	132	1367	1384	1692	2043
SAOUHSC_01826	NC_007795.1	1731824	1731964	+	141	0	0	0	0	1	0
SAOUHSC_01827	NC_007795.1	1732038	1733732	-	1695	18184	2964	18692	26810	26477	25607
SAOUHSC_01828	NC_007795.1	1733869	1734333	+	465	450	516	389	1638	620	1825
SAOUHSC_01829	NC_007795.1	1734577	1735179	+	603	67827	10011	55820	40479	65641	47456
SAOUHSC_01830	NC_007795.1	1735395	1736138	-	744	774	211	856	966	1164	1483
SAOUHSC_01831	NC_007795.1	1736218	1736664	+	447	973	351	585	1647	1090	2050
SAOUHSC_01832	NC_007795.1	1736778	1737938	+	1161	1024	3868	468	18097	940	23477
SAOUHSC_01833	NC_007795.1	1737925	1739529	+	1605	2185	3125	1828	17253	2626	22080
SAOUHSC_01834	NC_007795.1	1739623	1739718	+	96	5	0	2	3	4	4
SAOUHSC_01835	NC_007795.1	1739679	1740809	-	1131	2378	1111	2585	8381	3053	11916
SAOUHSC_01836	NC_007795.1	1740916	1742382	-	1467	5518	780	5764	4889	7610	5711
SAOUHSC_01837	NC_007795.1	1742510	1743127	-	618	1059	518	966	2608	1418	3160
SAOUHSC_01838	NC_007795.1	1743299	1744573	+	1275	2869	2180	1737	8016	3736	9129
SAOUHSC_01839	NC_007795.1	1744667	1745929	-	1263	687	241	648	1491	1082	1777
SAOUHSC_01840	NC_007795.1	1746311	1747216	+	906	365	65	495	901	667	1190
SAOUHSC_01841	NC_007795.1	1747196	1747288	-	93	0	0	0	0	2	0
SAOUHSC_01843	NC_007795.1	1747419	1750106	-	2688	1630	129	1411	771	2398	967
SAOUHSC_01844	NC_007795.1	1750105	1750194	+	90	6	2	2	2	6	3
SAOUHSC_01845	NC_007795.1	1750440	1752107	-	1668	9007	5733	5464	16490	10851	21572
SAOUHSC_01846	NC_007795.1	1752547	1754253	-	1707	4425	2829	2297	8424	3712	16612
SAOUHSC_01847	NC_007795.1	1754422	1755054	+	633	851	634	425	3339	752	4145
SAOUHSC_01849	NC_007795.1	1755079	1756248	+	1170	1874	1324	919	4205	1677	5686
SAOUHSC_01850	NC_007795.1	1756346	1757335	-	990	14032	2314	13187	17429	20307	27798
SAOUHSC_01851	NC_007795.1	1757408	1757521	-	114	0	1	1	3	0	1
SAOUHSC_01852	NC_007795.1	1757875	1758966	-	1092	3605	5380	3598	22548	5354	39249
SAOUHSC_01853	NC_007795.1	1759427	1759531	-	105	18	1	13	23	18	24
SAOUHSC_01854	NC_007795.1	1759666	1761183	-	1518	30646	24979	25090	57893	37430	75241
SAOUHSC_01855	NC_007795.1	1761257	1761748	-	492	28462	6488	20957	55495	37137	32313
SAOUHSC_01856	NC_007795.1	1761822	1763135	-	1314	7684	2222	7226	12947	10182	18475
SAOUHSC_01857	NC_007795.1	1763159	1766983	-	3825	14688	8326	13352	28375	19786	36817
SAOUHSC_01858	NC_007795.1	1767004	1767600	-	597	992	927	932	2304	1467	2820
SAOUHSC_01859	NC_007795.1	1767629	1768486	-	858	1099	339	1087	2180	1592	1828
SAOUHSC_01860	NC_007795.1	1768586	1768897	-	312	1373	1301	1217	4921	2036	4491
SAOUHSC_01861	NC_007795.1	1768962	1770038	-	1077	2009	1142	2006	3443	3202	3862
SAOUHSC_01863	NC_007795.1	1770125	1770436	+	312	1310	218	1562	4336	2013	4116
SAOUHSC_01864	NC_007795.1	1770561	1771403	-	843	1391	860	1129	2399	1851	3135
SAOUHSC_01865	NC_007795.1	1771873	1772517	-	645	11918	2878	12187	12514	14965	17938
SAOUHSC_01866	NC_007795.1	1772532	1773257	-	726	13611	7852	12152	19423	16833	21897
SAOUHSC_01867	NC_007795.1	1773873	1774721	-	849	2877	1110	3189	4796	4111	6201
SAOUHSC_01868	NC_007795.1	1774725	1776134	-	1410	2180	5751	1766	9647	2749	11415
SAOUHSC_01869	NC_007795.1	1776998	1777420	-	423	7904	4003	5972	19210	7463	32899
SAOUHSC_01870	NC_007795.1	1777437	1778132	-	696	3307	993	3463	4598	4367	7018
SAOUHSC_01871	NC_007795.1	1778129	1779790	-	1662	3161	1314	2912	6383	4239	6061
SAOUHSC_01872	NC_007795.1	1780197	1781465	+	1269	1732	810	1393	2212	1878	2946
SAOUHSC_01873	NC_007795.1	1781582	1788142	-	6561	3697	297	3985	1524	5309	1701
SAOUHSC_01874	NC_007795.1	1788485	1788796	-	312	333	652	330	821	449	1500
SAOUHSC_01875	NC_007795.1	1788818	1791235	-	2418	2936	2355	2304	6862	3302	7632
SAOUHSC_01876	NC_007795.1	1791523	1792704	-	1182	2201	595	1509	2850	2254	2258
SAOUHSC_01877	NC_007795.1	1792814	1793767	+	954	1952	997	1562	3697	2612	3791
SAOUHSC_01878	NC_007795.1	1793764	1794327	+	564	1549	225	1359	2730	2204	2853
SAOUHSC_01879	NC_007795.1	1794447	1794848	-	402	5188	444	4838	7483	6790	6614
SAOUHSC_01880	NC_007795.1	1795368	1796080	-	713	236	15	228	169	312	213
SAOUHSC_01882	NC_007795.1	1796427	1797254	-	828	5020	895	4703	5855	7377	6019
SAOUHSC_01883	NC_007795.1	1797257	1797376	-	120	8	5	24	11	15	35
SAOUHSC_01884	NC_007795.1	1797488	1798489	+	1002	5375	5510	2109	27468	3919	39497
